Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Exchange Server 2007,Standard,Service Pack 3,,Fixed,07/06/2010,11/04/2017,-3423,Out of Support
,Exchange Server 2010,Enterprise,Original Release,,Fixed,09/11/2009,11/10/2011,-5432,Out of Support
,Exchange Server 2010,Enterprise,Service Pack 1,,Fixed,23/08/2010,08/01/2013,-4977,Out of Support
,Exchange Server 2010,Enterprise,Service Pack 2,,Fixed,28/11/2011,08/04/2014,-4522,Out of Support
,Exchange Server 2010,Enterprise,Service Pack 3,,Fixed,12/02/2013,13/10/2020,-2142,Out of Support
,Exchange Server 2010,Standard,Original Release,,Fixed,09/11/2009,11/10/2011,-5432,Out of Support
,Exchange Server 2010,Standard,Service Pack 1,,Fixed,23/08/2010,08/01/2013,-4977,Out of Support
,Exchange Server 2010,Standard,Service Pack 2,,Fixed,28/11/2011,08/04/2014,-4522,Out of Support
,Exchange Server 2010,Standard,Service Pack 3,,Fixed,12/02/2013,13/10/2020,-2142,Out of Support
,Exchange Server 2013,Enterprise,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Exchange Server 2013,Enterprise,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,Exchange Server 2013,Standard,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Exchange Server 2013,Standard,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,Exchange Server 2016,Enterprise,Original Release,,Fixed,01/10/2015,14/10/2025,-315,Out of Support
,Exchange Server 2016,Standard,Original Release,,Fixed,01/10/2015,14/10/2025,-315,Out of Support
,Exchange Server 2019,Enterprise,Original Release,,Fixed,22/10/2018,14/10/2025,-315,Out of Support
,Exchange Server 2019,Standard,Original Release,,Fixed,22/10/2018,14/10/2025,-315,Out of Support
,Expression,Blend,Original Release,,Fixed,27/07/2007,10/10/2017,-3241,Out of Support
,Expression,Design,Original Release,,Fixed,27/07/2007,10/10/2017,-3241,Out of Support
,Expression,Encoder,Original Release,,Fixed,27/07/2007,10/10/2017,-3241,Out of Support
,Expression,Studio,Original Release,,Fixed,27/07/2007,10/10/2017,-3241,Out of Support
,Expression 2,Blend,Original Release,,Fixed,24/07/2008,09/10/2018,-2877,Out of Support
,Expression 2,Design,Original Release,,Fixed,24/07/2008,09/10/2018,-2877,Out of Support
,Expression 2,Encoder,Original Release,,Fixed,24/07/2008,09/10/2018,-2877,Out of Support
,Expression 2,Studio,Original Release,,Fixed,24/07/2008,09/10/2018,-2877,Out of Support
,Expression 2,Web,Original Release,,Fixed,24/07/2008,09/10/2018,-2877,Out of Support
,Expression 3,Design,Original Release,,Fixed,19/10/2009,14/01/2020,-2415,Out of Support
,Expression 3,Encoder,Original Release,,Fixed,19/10/2009,14/01/2020,-2415,Out of Support
,Expression 3,Studio,Original Release,,Fixed,19/10/2009,14/01/2020,-2415,Out of Support
,Expression 3,Web,Original Release,,Fixed,19/10/2009,14/01/2020,-2415,Out of Support
,Expression 4,Design,Original Release,,Fixed,26/08/2010,14/07/2020,-2233,Out of Support
,Expression 4,Encoder,Original Release,,Fixed,26/08/2010,14/07/2020,-2233,Out of Support
,Expression 4,Studio Ultimate,Original Release,,Fixed,26/08/2010,14/07/2020,-2233,Out of Support
,Expression 4,Web,Original Release,,Fixed,26/08/2010,14/07/2020,-2233,Out of Support
,"FAST Search Server 2010 (for Internet Sites, for Internal Applications)",Internal Applications,Original Release,,Fixed,16/06/2010,13/10/2020,-2142,Out of Support
,"FAST Search Server 2010 (for Internet Sites, for Internal Applications)",Internet Sites,Original Release,,Fixed,16/06/2010,13/10/2020,-2142,Out of Support
,"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",for SharePoint,Original Release,,Fixed,16/06/2010,10/07/2012,-5159,Out of Support
,"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",for SharePoint,Service Pack 1,,Fixed,24/06/2011,23/07/2014,-4416,Out of Support
,"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",for SharePoint,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",for SharePoint Internet Sites,Original Release,,Fixed,16/06/2010,10/07/2012,-5159,Out of Support
,"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",for SharePoint Internet Sites,Service Pack 1,,Fixed,24/06/2011,23/07/2014,-4416,Out of Support
,"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",for SharePoint Internet Sites,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Forefront Protection 2010 for Exchange Server,,Original Release,,Fixed,01/11/2009,31/12/2015,-3890,Out of Support
,Forefront Protection 2010 for SharePoint,,Original Release,,Fixed,15/07/2010,31/12/2015,-3890,Out of Support
,Forefront Security for Exchange Server,,Original Release,,Fixed,08/03/2007,13/01/2009,-6433,Out of Support
,Forefront Security for Exchange Server,,Service Pack 1,,Fixed,29/11/2007,13/07/2010,-5887,Out of Support
,Forefront Security for Exchange Server,,Service Pack 2,,Fixed,30/06/2009,31/12/2015,-3890,Out of Support
,Forefront Security for Office Communications Server,,RTM,,Fixed,09/06/2009,31/12/2015,-3890,Out of Support
,Forefront Security for Sharepoint,,Original Release,,Fixed,08/03/2007,14/10/2008,-6524,Out of Support
,Forefront Security for Sharepoint,,Service Pack 1,,Fixed,30/09/2007,13/10/2009,-6160,Out of Support
,Forefront Security for Sharepoint,,Service Pack 2,,Fixed,10/04/2008,13/07/2010,-5887,Out of Support
,Forefront Security for Sharepoint,,Service Pack 3,,Fixed,30/06/2009,31/12/2015,-3890,Out of Support
,Front Door Profile,,,Microsoft CDN Classic managed certificates,,,15/08/2025,-375,Out of Support
,FSLogix,,Version 2201,,Modern,25/03/2022,24/05/2022,-1554,Out of Support
,FSLogix,,Version 2201 Hotfix 1,,Modern,24/05/2022,21/07/2022,-1496,Out of Support
,FSLogix,,Version 2201 Hotfix 2,,Modern,21/07/2022,13/12/2022,-1351,Out of Support
,FSLogix,,Version 2210,,Modern,13/12/2022,03/03/2023,-1271,Out of Support
,FSLogix,,Version 2210 Hotfix 1,,Modern,03/03/2023,22/08/2023,-1099,Out of Support
,FSLogix,,Version 2210 Hotfix 2,,Modern,22/08/2023,13/02/2024,-924,Out of Support
,FSLogix,,Version 2210 Hotfix 3,,Modern,13/02/2024,14/05/2024,-833,Out of Support
,FSLogix,,Version 2210 Hotfix 4,,Modern,14/05/2024,31/12/2099,26791,Out of Support
,GPOVault,1.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,GPOVault,2.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,GPOVault,Enterprise 1.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,GPOVault,Enterprise 2.0,Original Release,,Fixed,01/01/2007,12/01/2010,-6069,Out of Support
,Groove 3.1,Enterprise Backup Service,Original Release,,Fixed,01/07/2004,16/04/2010,-5975,Out of Support
,Groove 3.1,Enterprise Data Bridge,Original Release,,Fixed,01/07/2004,16/04/2010,-5975,Out of Support
,Groove 3.1,Enterprise Relay Server,Original Release,,Fixed,01/07/2004,16/04/2010,-5975,Out of Support
,Groove 3.1,Hosted Management Services,Original Release,,Fixed,01/07/2004,16/04/2010,-5975,Out of Support
,Groove 3.1,Hosted Relay Services,Original Release,,Fixed,01/07/2004,16/04/2010,-5975,Out of Support
,Groove 3.1,Office Project,Original Release,,Fixed,01/07/2004,16/04/2010,-5975,Out of Support
,Groove 3.1,Virtual Office File Sharing,Original Release,,Fixed,01/07/2004,16/04/2010,-5975,Out of Support
,Groove 3.1,Virtual Office Professional,Original Release,,Fixed,01/07/2004,16/04/2010,-5975,Out of Support
,Groove 3.1,Web Services Development Kit,Original Release,,Fixed,01/07/2004,16/04/2010,-5975,Out of Support
,Groove Server 2010,,Original Release,,Fixed,16/06/2010,10/07/2012,-5159,Out of Support
,Groove Server 2010,,Service Pack 1,,Fixed,24/06/2011,13/07/2014,-4426,Out of Support
,Groove Server 2010,,Service Pack 2,,Fixed,13/07/2013,13/10/2020,-2142,Out of Support
,HDInsight cluster,,,Outdated HDInsight images,,,10/02/2024,-927,Out of Support
,HDInsight cluster,,,Version 4.0,,,31/03/2025,-512,Out of Support
,HDInsight cluster,,,Version 5.0,,,31/03/2025,-512,Out of Support
,HDInsight cluster,,,VM agent 9.9.9.9,,,10/11/2023,-1019,Out of Support
,HockeyApp,,Original Release,,Modern,31/12/2015,16/11/2019,-2474,Out of Support
,HPC Pack 2008,,Original Release,,Fixed,29/12/2008,11/10/2011,-5432,Out of Support
,HPC Pack 2008,,Service Pack 1,,Fixed,12/08/2009,10/07/2012,-5159,Out of Support
,HPC Pack 2008,,Service Pack 2,,Fixed,12/05/2010,14/04/2020,-2324,Out of Support
,HPC Pack 2008 R2,,Original Release,,Fixed,17/10/2010,08/01/2013,-4977,Out of Support
,HPC Pack 2008 R2,,Service Pack 1,,Fixed,10/12/2010,12/07/2013,-4792,Out of Support
,HPC Pack 2008 R2,,Service Pack 2,,Fixed,14/06/2011,14/01/2014,-4606,Out of Support
,HPC Pack 2008 R2,,Service Pack 3,,Fixed,10/11/2011,08/07/2014,-4431,Out of Support
,HPC Pack 2008 R2,,Service Pack 4,,Fixed,07/06/2012,14/04/2020,-2324,Out of Support
,HPC Pack 2012,,Original Release,,Fixed,11/03/2013,11/04/2023,-1232,Out of Support
,HPC Pack 2012 R2,,Original Release,,Fixed,14/04/2014,11/04/2023,-1232,Out of Support
,HPC Pack 2019,,Original Release,,Modern,10/06/2020,31/12/2099,26791,Out of Support
,HPC Pack burst to Cloud Services,,HPC Pack burst to Cloud Services,,Modern,17/10/2010,31/08/2024,-724,Out of Support
,Hyper-V Server 2008,,Original Release,,Fixed,30/12/2008,14/01/2020,-2415,Out of Support
,Hyper-V Server 2008 R2,,Original Release,,Fixed,22/10/2009,10/04/2012,-5250,Out of Support
,Hyper-V Server 2008 R2,,Service Pack 1,,Fixed,12/04/2011,14/01/2020,-2415,Out of Support
,Hyper-V Server 2012,,Original Release,,Fixed,30/10/2012,10/10/2023,-1050,Out of Support
,Hyper-V Server 2012 R2,,Original Release,,Fixed,25/11/2013,10/10/2023,-1050,Out of Support
,InfoPath 2010,Standard,Original Release,,Fixed,15/07/2010,13/10/2020,-2142,Out of Support
,InMage Scout in Azure Site Recovery,,Original Release,,Modern,01/08/2014,31/12/2020,-2063,Out of Support
,Integration Services Environment,,Integration Services Environment,,Modern,25/02/2019,31/08/2024,-724,Out of Support
,Internet Explorer 10,,Original Release,,Component,30/10/2012,31/01/2020,-2398,Out of Support
,Internet Explorer 11,,Original Release,,Component,13/11/2013,31/12/2099,26791,Out of Support
,Internet Explorer 11 on Windows 10 Semi-Annual Channel (SAC),,Original Release,,Component,13/11/2013,14/06/2022,-1533,Out of Support
,Internet Explorer 7,,Original Release,,Component,18/10/2006,31/12/2099,26791,Out of Support
,Internet Explorer 8,,Original Release,,Component,17/06/2009,13/10/2020,-2142,Out of Support
,Internet Explorer 9,,Original Release,,Component,15/03/2011,14/01/2020,-2415,Out of Support
,Internet Information Services (IIS),,IIS 10 on Windows 10 Pro,,Component,29/07/2015,31/12/2099,26791,Out of Support
,Internet Information Services (IIS),,"IIS 10 on Windows 10, Enterprise and Education",,Component,29/07/2015,31/12/2099,26791,Out of Support
,Internet Information Services (IIS),,IIS 10 on Windows Server (Semi-Annual Channel),,Component,17/10/2017,31/12/2099,26791,Out of Support
,Internet Information Services (IIS),,IIS 6.0 on Windows Server 2003,,Component,28/05/2003,14/07/2015,-4060,Out of Support
,Internet Information Services (IIS),,IIS 7.0 on Windows Server 2008*,,Component,06/05/2008,14/01/2020,-2415,Out of Support
,Internet Information Services (IIS),,IIS 7.5 on Windows 7*,,Component,22/10/2009,14/01/2020,-2415,Out of Support
,Internet Information Services (IIS),,IIS 7.5 on Windows Server 2008 R2*,,Component,22/10/2009,14/01/2020,-2415,Out of Support
,Internet Information Services (IIS),,IIS 8 on Windows Server 2012,,Component,30/10/2012,10/10/2023,-1050,Out of Support
,Internet Information Services (IIS),,IIS 8.5 on Windows 8.1,,Component,13/11/2013,10/01/2023,-1323,Out of Support
,Internet Information Services (IIS),,IIS 8.5 on Windows Server 2012 R2,,Component,25/11/2013,10/10/2023,-1050,Out of Support
,Kaizala,,Original Release,,Modern,26/07/2017,31/08/2023,-1090,Out of Support
,Kubernetes - Azure Arc,,,AKS on VMware,,,16/03/2026,-162,Out of Support
,Kubernetes service,,,Azure Linux 2.0 support on AKS,,,30/11/2025,-268,Out of Support
,Kubernetes service,,,HC-series,,,31/05/2026,-86,Out of Support
,Kubernetes service,,,Support for Ubuntu 18.04,,,17/06/2025,-434,Out of Support
,Learning Essentials 2.0 for Microsoft Office,,Original Release,,Component,30/04/2007,10/07/2012,-5159,Out of Support
,Learning Essentials v1.5 with SCORM,,Original Release,,Component,06/12/2006,10/01/2012,-5341,Out of Support
,Load balancer,,,Basic Load Balancer,,,30/09/2025,-329,Out of Support
,Log Analytics workspace,,,Support for TLS 1.0 and 1.1,,,01/03/2026,-177,Out of Support
,Lync 2013,SDK,Original Release,,Fixed,09/01/2013,11/04/2023,-1232,Out of Support
,Lync 2013,Standard,Original Release,,Fixed,09/01/2013,11/04/2023,-1232,Out of Support
,Lync Meeting Room,,Original Release,,Fixed,01/09/2013,09/10/2018,-2877,Out of Support
,Machine Learning Studio (classic),,Original Release,,Modern,18/05/2015,31/08/2024,-724,Out of Support
,Microsoft .NET and .NET Core,,.NET 5.0,,Modern,10/11/2020,10/05/2022,-1568,Out of Support
,Microsoft .NET and .NET Core,,.NET 6.0 (LTS),,Modern,08/11/2021,12/11/2024,-651,Out of Support
,Microsoft .NET and .NET Core,,.NET 7,,Modern,08/11/2022,14/05/2024,-833,Out of Support
,Microsoft .NET and .NET Core,,.NET 9,,Modern,12/11/2024,12/05/2026,-105,Out of Support
,Microsoft .NET and .NET Core,,.NET Core 1.0,,Modern,27/06/2016,27/06/2019,-2616,Out of Support
,Microsoft .NET and .NET Core,,.NET Core 1.1,,Modern,16/11/2016,27/06/2019,-2616,Out of Support
,Microsoft .NET and .NET Core,,.NET Core 2.0,,Modern,14/08/2017,01/10/2018,-2885,Out of Support
,Microsoft .NET and .NET Core,,.NET Core 2.1 (LTS),,Modern,30/05/2018,21/08/2021,-1830,Out of Support
,Microsoft .NET and .NET Core,,.NET Core 2.2,,Modern,04/12/2018,23/12/2019,-2437,Out of Support
,Microsoft .NET and .NET Core,,.NET Core 3.0,,Modern,23/09/2019,03/03/2020,-2366,Out of Support
,Microsoft .NET and .NET Core,,.NET Core 3.1 (LTS),,Modern,03/12/2019,13/12/2022,-1351,Out of Support
,Microsoft .NET Framework,,.NET Framework 2.0,,Component,17/02/2006,12/07/2011,-5523,Out of Support
,Microsoft .NET Framework,,.NET Framework 3.0,,Component,21/11/2006,12/07/2011,-5523,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.0,,Component,12/04/2010,12/01/2016,-3878,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.5,,Component,09/10/2012,12/01/2016,-3878,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.5.1,,Component,15/01/2014,12/01/2016,-3878,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.5.2,,Component,05/05/2014,26/04/2022,-1582,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.6,,Component,29/07/2015,26/04/2022,-1582,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.6.1,,Component,30/11/2015,26/04/2022,-1582,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.7,,Component,11/04/2017,31/12/2099,26791,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.7.1,,Component,17/10/2017,31/12/2099,26791,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.7.2,,Component,30/04/2018,31/12/2099,26791,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.8,,Component,18/04/2019,31/12/2099,26791,Out of Support
,Microsoft .NET Framework,,.NET Framework 4.8.1,,Component,09/08/2022,31/12/2099,26791,Out of Support
,Microsoft .NET Micro Framework Porting Kit 3.0,,Original Release,,Fixed,25/01/2009,11/07/2017,-3332,Out of Support
,Microsoft 365,Business,Original Release,,Modern,22/09/2015,31/12/2099,26791,Out of Support
,Microsoft 365,Education,Original Release,,Modern,22/09/2015,31/12/2099,26791,Out of Support
,Microsoft 365,Enterprise,Original Release,,Modern,22/09/2015,31/12/2099,26791,Out of Support
,Microsoft 365,Government,Original Release,,Modern,22/09/2015,31/12/2099,26791,Out of Support
,Microsoft 365 Apps,for business,Original Release,,Modern,22/09/2015,31/12/2099,26791,Out of Support
,Microsoft 365 Apps,for enterprise,Original Release,,Modern,22/09/2015,31/12/2099,26791,Out of Support
,Microsoft 365 Security Incident Response,,Original Release,,Modern,13/10/2023,31/12/2099,26791,Out of Support
,Microsoft ActiveSync 4.2,,Original Release,,Fixed,22/06/2006,12/07/2016,-3696,Out of Support
,Microsoft ActiveSync 4.5,,Original Release,,Fixed,12/05/2007,10/07/2012,-5159,Out of Support
,Microsoft Advanced Group Policy Management 4.0,,Original Release,,Fixed,19/11/2009,08/04/2014,-4522,Out of Support
,Microsoft Advanced Group Policy Management 4.0,,Service Pack 1,,Fixed,09/04/2013,13/01/2015,-4242,Out of Support
,Microsoft Advanced Group Policy Management 4.0,,Service Pack 2,,Fixed,02/12/2013,11/10/2016,-3605,Out of Support
,Microsoft Advanced Group Policy Management 4.0,,Service Pack 3,,Fixed,31/07/2015,14/04/2026,-133,Out of Support
,Microsoft Antigen,9.0 for Exchange,Original Release,,Fixed,17/07/2006,31/12/2015,-3890,Out of Support
,Microsoft Antigen,Enterprise Manager 9.0,Original Release,,Fixed,17/07/2006,31/12/2015,-3890,Out of Support
,Microsoft Antigen,for SMTP Gateways,Original Release,,Fixed,17/07/2006,31/12/2015,-3890,Out of Support
,Microsoft Antigen,Spam Manager,Original Release,,Fixed,17/07/2006,31/12/2015,-3890,Out of Support
,Microsoft App Container App,,,Service Connector on ACA,,,30/03/2026,-148,Out of Support
,Microsoft Application Virtualization 4.5,for Terminal Services,Original Release,,Fixed,23/11/2008,11/01/2011,-5705,Out of Support
,Microsoft Application Virtualization 4.5,for Terminal Services,Service Pack 1,,Fixed,13/12/2009,11/10/2011,-5432,Out of Support
,Microsoft Application Virtualization 4.5,for Terminal Services,Service Pack 2,,Fixed,15/08/2010,08/01/2019,-2786,Out of Support
,Microsoft Application Virtualization 4.5,for Windows Desktops,Original Release,,Fixed,23/11/2008,11/01/2011,-5705,Out of Support
,Microsoft Application Virtualization 4.5,for Windows Desktops,Service Pack 1,,Fixed,13/12/2009,11/10/2011,-5432,Out of Support
,Microsoft Application Virtualization 4.5,for Windows Desktops,Service Pack 2,,Fixed,15/08/2010,08/01/2019,-2786,Out of Support
,Microsoft Application Virtualization 4.6,for Remote Desktop Services,Original Release,,Fixed,27/05/2010,10/04/2012,-5250,Out of Support
,Microsoft Application Virtualization 4.6,for Remote Desktop Services,Service Pack 1,,Fixed,26/01/2011,08/10/2013,-4704,Out of Support
,Microsoft Application Virtualization 4.6,for Remote Desktop Services,Service Pack 2,,Fixed,01/10/2012,13/01/2015,-4242,Out of Support
,Microsoft Application Virtualization 4.6,for Remote Desktop Services,Service Pack 3,,Fixed,02/12/2013,14/07/2020,-2233,Out of Support
,Microsoft Application Virtualization 4.6,for Windows Desktops,Original Release,,Fixed,27/05/2010,10/04/2012,-5250,Out of Support
,Microsoft Application Virtualization 4.6,for Windows Desktops,Service Pack 1,,Fixed,26/01/2011,08/10/2013,-4704,Out of Support
,Microsoft Application Virtualization 4.6,for Windows Desktops,Service Pack 2,,Fixed,01/10/2012,13/01/2015,-4242,Out of Support
,Microsoft Application Virtualization 4.6,for Windows Desktops,Service Pack 3,,Fixed,02/12/2013,14/07/2020,-2233,Out of Support
,Microsoft Application Virtualization 4.6,Sequencer,Original Release,,Fixed,27/05/2010,10/04/2012,-5250,Out of Support
,Microsoft Application Virtualization 4.6,Sequencer,Service Pack 1,,Fixed,26/01/2011,08/10/2013,-4704,Out of Support
,Microsoft Application Virtualization 4.6,Sequencer,Service Pack 2,,Fixed,01/10/2012,13/01/2015,-4242,Out of Support
,Microsoft Application Virtualization 4.6,Sequencer,Service Pack 3,,Fixed,02/12/2013,14/07/2020,-2233,Out of Support
,Microsoft Application Virtualization 5.0,for Remote Desktop Services,Original Release,,Fixed,01/11/2012,08/07/2014,-4431,Out of Support
