Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Dynamics GP 10.0,,Service Pack 1,,Fixed,16/11/2007,12/10/2010,-5796,Out of Support
,Dynamics GP 10.0,,Service Pack 2,,Fixed,28/05/2008,11/01/2011,-5705,Out of Support
,Dynamics GP 10.0,,Service Pack 3,,Fixed,15/10/2008,11/10/2011,-5432,Out of Support
,Dynamics GP 10.0,,Service Pack 4,,Fixed,14/08/2009,09/10/2012,-5068,Out of Support
,Dynamics GP 10.0,,Service Pack 5,,Fixed,31/07/2010,10/10/2017,-3241,Out of Support
,Dynamics GP 2010,,Original Release,,Fixed,15/06/2010,09/10/2012,-5068,Out of Support
,Dynamics GP 2010,,Service Pack 1,,Fixed,16/12/2010,14/07/2013,-4790,Out of Support
,Dynamics GP 2010,,Service Pack 2,,Fixed,15/04/2011,08/07/2014,-4431,Out of Support
,Dynamics GP 2010,,Service Pack 3,,Fixed,27/06/2012,13/10/2015,-3969,Out of Support
,Dynamics GP 2010,,Service Pack 4,,Fixed,18/09/2013,13/10/2020,-2142,Out of Support
,Dynamics GP 2010 R2,,Original Release,,Fixed,14/07/2011,13/10/2020,-2142,Out of Support
,Dynamics GP 2013,,Original Release,,Fixed,12/03/2013,14/07/2015,-4060,Out of Support
,Dynamics GP 2013,,Service Pack 1,,Fixed,18/04/2013,13/10/2015,-3969,Out of Support
,Dynamics GP 2013,,Service Pack 2,,Fixed,28/08/2013,11/04/2023,-1232,Out of Support
,Dynamics GP 2013 R2,,Original Release,,Fixed,21/08/2014,11/04/2023,-1232,Out of Support
,Dynamics GP 2015,,Original Release,,Fixed,18/02/2015,08/04/2025,-504,Out of Support
,Dynamics GP 2015 R2,,Original Release,,Fixed,30/08/2015,08/04/2025,-504,Out of Support
,Dynamics Marketing,,Original Release,,Modern,30/05/2014,15/05/2018,-3024,Out of Support
,Dynamics Mobile Development Tools,,Original Release,,Component,12/01/2008,14/01/2014,-4606,Out of Support
,Dynamics NAV 2009,,Original Release,,Fixed,12/02/2009,11/10/2011,-5432,Out of Support
,Dynamics NAV 2009,,Service Pack 1,,Fixed,28/08/2009,14/01/2020,-2415,Out of Support
,Dynamics NAV 2009 R2,,Original Release,,Fixed,15/03/2011,14/01/2020,-2415,Out of Support
,Dynamics NAV 2013,,Original Release,,Fixed,19/12/2012,10/01/2023,-1323,Out of Support
,Dynamics NAV 2013 R2,,Original Release,,Fixed,30/12/2013,10/01/2023,-1323,Out of Support
,Dynamics NAV 2015,,Original Release,,Fixed,17/12/2014,14/01/2025,-588,Out of Support
,Dynamics NAV 2016,,Original Release,,Fixed,03/01/2016,14/04/2026,-133,Out of Support
,Dynamics NAV 4.0,,Original Release,,Fixed,12/12/2004,12/01/2010,-6069,Out of Support
,Dynamics NAV 4.0,,Service Pack 1,,Fixed,01/11/2005,10/07/2007,-6986,Out of Support
,Dynamics NAV 4.0,,Service Pack 2,,Fixed,26/04/2006,08/01/2008,-6804,Out of Support
,Dynamics NAV 4.0,,Service Pack 3,,Fixed,23/10/2006,12/01/2010,-6069,Out of Support
,Dynamics NAV 5.0,,Original Release,,Fixed,01/04/2007,13/04/2010,-5978,Out of Support
,Dynamics NAV 5.0,,Service Pack 1,,Fixed,31/03/2008,11/04/2017,-3423,Out of Support
,Dynamics POS 2.0,,Original Release,,Fixed,27/01/2007,10/04/2012,-5250,Out of Support
,Dynamics POS 2009,,Original Release,,Fixed,17/06/2009,11/01/2011,-5705,Out of Support
,Dynamics POS 2009,,Service Pack 1,,Fixed,15/10/2009,08/07/2014,-4431,Out of Support
,Dynamics POS 2009,,Service Pack 2,,Fixed,28/06/2013,09/07/2019,-2604,Out of Support
,Dynamics Retail Management System 1.3,Headquarters,Original Release,,Fixed,31/01/2006,12/04/2011,-5614,Out of Support
,Dynamics Retail Management System 1.3,Store Operations,Original Release,,Fixed,31/01/2006,12/04/2011,-5614,Out of Support
,Dynamics Retail Management System 2.0,Headquarters,Service Pack 1,,Fixed,31/07/2007,14/10/2008,-6524,Out of Support
,Dynamics Retail Management System 2.0,Headquarters,Service Pack 2,,Fixed,23/05/2008,13/07/2010,-5887,Out of Support
,Dynamics Retail Management System 2.0,Headquarters,Service Pack 3,,Fixed,17/04/2009,10/04/2012,-5250,Out of Support
,Dynamics Retail Management System 2.0,Headquarters,Service Pack 4,,Fixed,03/03/2011,13/10/2015,-3969,Out of Support
,Dynamics Retail Management System 2.0,Headquarters,Service Pack 5,,Fixed,26/11/2013,13/07/2021,-1869,Out of Support
,Dynamics Retail Management System 2.0,Store Operations,Service Pack 1,,Fixed,31/07/2007,14/10/2008,-6524,Out of Support
,Dynamics Retail Management System 2.0,Store Operations,Service Pack 2,,Fixed,23/05/2008,13/07/2010,-5887,Out of Support
,Dynamics Retail Management System 2.0,Store Operations,Service Pack 3,,Fixed,17/04/2009,10/04/2012,-5250,Out of Support
,Dynamics Retail Management System 2.0,Store Operations,Service Pack 4,,Fixed,03/03/2011,13/10/2015,-3969,Out of Support
,Dynamics Retail Management System 2.0,Store Operations,Service Pack 5,,Fixed,26/11/2013,13/07/2021,-1869,Out of Support
,Dynamics SL 2011,,Original Release,,Fixed,15/06/2011,14/01/2014,-4606,Out of Support
,Dynamics SL 2011,,Service Pack 1,,Fixed,11/11/2011,13/10/2015,-3969,Out of Support
,Dynamics SL 2011,,Service Pack 2,,Fixed,04/09/2013,12/07/2016,-3696,Out of Support
,Dynamics SL 2011,,Service Pack 3,,Fixed,02/06/2015,13/07/2021,-1869,Out of Support
,Dynamics SL 2015,,Original Release,,Fixed,29/12/2014,14/01/2025,-588,Out of Support
,Dynamics SL 6.5,,Original Relase,,Fixed,14/01/2006,10/07/2007,-6986,Out of Support
,Dynamics SL 6.5,,Service Pack 1,,Fixed,27/04/2006,13/10/2009,-6160,Out of Support
,Dynamics SL 6.5,,Service Pack 2,,Fixed,27/07/2007,11/01/2011,-5705,Out of Support
,Dynamics SL 6.5,,Service Pack 3,,Fixed,07/01/2009,12/04/2011,-5614,Out of Support
,Dynamics SL 7.0,,Original Release,,Fixed,31/08/2007,12/01/2010,-6069,Out of Support
,Dynamics SL 7.0,,Service Pack 1,,Fixed,15/11/2007,11/01/2011,-5705,Out of Support
,Dynamics SL 7.0,,Service Pack 2,,Fixed,15/11/2008,15/04/2012,-5245,Out of Support
,Dynamics SL 7.0,,Service Pack 3,,Fixed,16/04/2010,09/07/2013,-4795,Out of Support
,Dynamics SL 7.0,,Service Pack 4,,Fixed,06/05/2011,10/10/2017,-3241,Out of Support
,Engyro Product Connectors for Microsoft Operations Manager 2005,,Original Release,,Fixed,01/10/2007,13/01/2015,-4242,Out of Support
,Engyro Product Connectors for Microsoft System Center Operations Manager 2007,,Original Release,,Fixed,01/10/2007,11/07/2017,-3332,Out of Support
,Enhanced Mitigation Experience Toolkit (EMET),,Original Release,,Fixed,30/12/2016,31/07/2018,-2947,Out of Support
,Event Grid domain,,,Support for TLS 1.0 and 1.1,,,28/02/2025,-543,Out of Support
,Event Grid Partner Namespace,,,Support for TLS 1.0 and 1.1,,,28/02/2025,-543,Out of Support
,Event Grid topic,,,Support for TLS 1.0 and 1.1,,,28/02/2025,-543,Out of Support
,Excel 2008 for Mac,,Original Release,,Fixed,12/03/2008,09/04/2013,-4886,Out of Support
,Excel 2010,Home and Student,Original Release,,Fixed,15/07/2010,13/10/2020,-2142,Out of Support
,Excel 2010,Mobile,Original Release,,Fixed,15/07/2010,13/10/2020,-2142,Out of Support
,Excel 2010,Standard,Original Release,,Fixed,15/07/2010,13/10/2020,-2142,Out of Support
,Excel 2013,Standard,Original Release,,Fixed,09/01/2013,11/04/2023,-1232,Out of Support
,Excel 2016,Standard,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Excel 2016 for Mac,,Original Release,,Fixed,27/09/2015,13/10/2020,-2142,Out of Support
,Excel 2019,Standard,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Excel 2019 for Mac,,Original Release,,Fixed,24/09/2018,10/10/2023,-1050,Out of Support
,Excel for Mac 2011,,Original Release,,Fixed,09/12/2010,10/10/2017,-3241,Out of Support
,Exchange Server 2003,Enterprise,Original Release,,Fixed,28/09/2003,25/05/2005,-7762,Out of Support
,Exchange Server 2003,Enterprise,Service Pack 1,,Fixed,25/05/2004,08/01/2008,-6804,Out of Support
,Exchange Server 2003,Enterprise,Service Pack 2,,Fixed,19/10/2005,08/04/2014,-4522,Out of Support
